,index,tweet,tweet_text,clean_tweet
846,1054,Spoke to 11 corporate CFOs and a few GTA Surgeons today. Every single one has said they have stopped all travel and/or are not allowed to attend conferences into at least June.  #travel #COVID19,Spoke to 11 corporate CFOs and a few GTA Surgeons today. Every single one has said they have stopped all travel and/or are not allowed to attend conferences into at least June.  #travel #COVID19,Spoke to 11 corporate CFOs and few GTA Surgeons today Every single one have say they have stop all travel be not allow to attend conference into at least June travel COVID19
847,567,"RT @nytimes: A Starbucks in Seattle closed after an employee tested positive for the coronavirus, leading many Washington state residents t…","A Starbucks in Seattle closed after an employee tested positive for the coronavirus, leading many Washington state residents t",Starbucks in Seattle close after an employee test positive for the coronavirus lead many Washington state resident
848,207,RT @gatewaypundit: State Department Employee in Japan Ignored President Trump's Orders and Allowed Americans with Coronavirus to Fly Back t…,State Department Employee in Japan Ignored President Trump's Orders and Allowed Americans with Coronavirus to Fly Back t,State Department Employee in Japan Ignored President Trump is Orders and Allowed Americans with Coronavirus to Fly Back
849,228,RT @TravelLeisure: State of Emergency Declared in San Francisco Following Coronavirus Outbreak https://t.co/mH5HMjyugP https://t.co/yWnw4SN…,State of Emergency Declared in San Francisco Following Coronavirus Outbreak  ,State of Emergency Declared in San Francisco Following Coronavirus Outbreak
850,1275,RT @jpags: Statement from Mayor Tory as health officials announce first “presumptive” confirmed case of coronavirus in Toronto: https://t.c…,Statement from Mayor Tory as health officials announce first “presumptive” confirmed case of coronavirus in Toronto,Statement from Mayor Tory a health official announce first presumptive confirm case of coronavirus in Toronto
851,508,RT @tamarakeithNPR: Statement from @PressSec on someone who attended CPAC testing positive for Coronavirus. Both POTUS and VPOTUS spoke the…,Statement from @PressSec on someone who attended CPAC testing positive for Coronavirus. Both POTUS and VPOTUS spoke the,Statement from PressSec on someone who attend CPAC test positive for Coronavirus Both POTUS and VPOTUS spoke the
852,697,RT @DavidCornDC: Staying safe from coronavirus is a lot harder if you live on the streets https://t.co/tpwUVKE5Xy via @MotherJones,Staying safe from coronavirus is a lot harder if you live on the streets  via @MotherJones,Staying safe from coronavirus be lot harder if you live on the street via MotherJones
853,420,"RT @wicary: Stephen Poloz is poised for a dramatic farewell at the Bank of Canada, with coronavirus concerns putting a rate cut in play thi…","Stephen Poloz is poised for a dramatic farewell at the Bank of Canada, with coronavirus concerns putting a rate cut in play thi",Stephen Poloz be poise for dramatic farewell at the Bank of Canada with coronavirus concern put rate cut in play thi
854,752,"RT @ReutersBiz: Stock indexes fell sharply as the swift spread of #coronavirus in the U.S. led California to declare an emergency, while ai…","Stock indexes fell sharply as the swift spread of #coronavirus in the U.S. led California to declare an emergency, while ai",Stock index fell sharply a the swift spread of coronavirus in the lead California to declare an emergency while ai
855,883,"Stock markets see-saw as investors confront economic effects of coronavirus spreading
https://t.co/fi0YHUldVY https://t.co/WWMH4OepxH","Stock markets see-saw as investors confront economic effects of coronavirus spreading
 ",Stock market a investor confront economic effect of coronavirus spread
856,810,RT @washingtonpost: Stop touching my face? Why the easiest way to prevent coronavirus is so hard. https://t.co/YdmTA5BCGy,Stop touching my face? Why the easiest way to prevent coronavirus is so hard. ,Stop touch my face Why the easy way to prevent coronavirus be so hard
